release_version,schema_version,committee_code,chamber,committee_name,valid_start,valid_last_active_date,is_joint
v0.1.0,1.1.0,HSAG,H,Agriculture,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSAG,H,House Committee on Agriculture,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSAP,H,Appropriations,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSAP,H,House Committee on Appropriations,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSAS,H,Armed Services,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSAS,H,House Committee on Armed Services,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSBA,H,Financial Services,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSBA,H,House Committee on Financial Services,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSBU,H,Budget,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSBU,H,House Committee on the Budget,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSED,H,Education and the Workforce,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSED,H,House Committee on Education and Workforce,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSFA,H,Foreign Affairs,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSFA,H,House Committee on Foreign Affairs,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSGO,H,Oversight and Government Reform,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSGO,H,House Committee on Oversight and Government Reform,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSHA,H,House Administration,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSHA,H,House Committee on House Administration,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSHM,H,Homeland Security,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSHM,H,House Committee on Homeland Security,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSIF,H,Energy and Commerce,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSIF,H,House Committee on Energy and Commerce,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSII,H,Natural Resources,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSII,H,House Committee on Natural Resources,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSJU,H,Judiciary,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSJU,H,House Committee on the Judiciary,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSPW,H,Transportation and Infrastructure,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSPW,H,House Committee on Transportation and Infrastructure,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSRU,H,Rules,2013-01-03,2019-01-02,false
v0.1.0,1.1.0,HSRU,H,House Committee on Rules,2019-01-03,2027-01-02,false
v0.1.0,1.1.0,HSSM,H,Small Business,2013-01-03,2019-01-02,false
