release_version,schema_version,bioguide_id,congress_no,chamber,service_start,service_last_active_date,first_name,last_name,official_full_name,nickname,state,district,party_code,caucus_party_code,exit_reason
v0.1.0,1.1.0,A000055,113,H,2013-01-03,2015-01-02,Robert,Aderholt,Robert B. Aderholt,,AL,4,200,200,
v0.1.0,1.1.0,A000210,113,H,2013-01-03,2014-02-17,Robert,Andrews,Robert E. Andrews,Rob,NJ,1,100,100,
v0.1.0,1.1.0,A000361,113,H,2013-01-03,2013-09-26,Rodney,Alexander,Rodney Alexander,,LA,5,200,200,
v0.1.0,1.1.0,A000367,113,H,2013-01-03,2015-01-02,Justin,Amash,Justin Amash,,MI,3,200,200,
v0.1.0,1.1.0,A000369,113,H,2013-01-03,2015-01-02,Mark,Amodei,Mark E. Amodei,,NV,2,200,200,
v0.1.0,1.1.0,A000370,113,H,2014-11-12,2015-01-02,Alma,Adams,Alma S. Adams,,NC,12,100,100,
v0.1.0,1.1.0,B000013,113,H,2013-01-03,2015-01-02,Spencer,Bachus,Spencer Bachus,,AL,6,200,200,
v0.1.0,1.1.0,B000213,113,H,2013-01-03,2015-01-02,Joe,Barton,Joe Barton,,TX,6,200,200,
v0.1.0,1.1.0,B000287,113,H,2013-01-03,2015-01-02,Xavier,Becerra,Xavier Becerra,,CA,34,100,100,
v0.1.0,1.1.0,B000490,113,H,2013-01-03,2015-01-02,Sanford,Bishop,"Sanford D. Bishop, Jr.",,GA,2,100,100,
v0.1.0,1.1.0,B000574,113,H,2013-01-03,2015-01-02,Earl,Blumenauer,Earl Blumenauer,,OR,3,100,100,
v0.1.0,1.1.0,B000755,113,H,2013-01-03,2015-01-02,Kevin,Brady,Kevin Brady,,TX,8,200,200,
v0.1.0,1.1.0,B000911,113,H,2013-01-03,2015-01-02,Corrine,Brown,Corrine Brown,,FL,5,100,100,
v0.1.0,1.1.0,B001227,113,H,2013-01-03,2015-01-02,Robert,Brady,Robert A. Brady,,PA,1,100,100,
v0.1.0,1.1.0,B001242,113,H,2013-01-03,2015-01-02,Timothy,Bishop,Timothy H. Bishop,,NY,1,100,100,
v0.1.0,1.1.0,B001243,113,H,2013-01-03,2015-01-02,Marsha,Blackburn,Marsha Blackburn,,TN,7,200,200,
v0.1.0,1.1.0,B001244,113,H,2013-01-03,2013-08-01,Jo,Bonner,Jo Bonner,,AL,1,200,200,
v0.1.0,1.1.0,B001245,113,H,2013-01-03,2015-01-02,Madeleine,Bordallo,Madeleine Z. Bordallo,,GU,0,100,100,
v0.1.0,1.1.0,B001248,113,H,2013-01-03,2015-01-02,Michael,Burgess,Michael C. Burgess,,TX,26,200,200,
v0.1.0,1.1.0,B001250,113,H,2013-01-03,2015-01-02,Rob,Bishop,Rob Bishop,,UT,1,200,200,
v0.1.0,1.1.0,B001251,113,H,2013-01-03,2015-01-02,George,Butterfield,G. K. Butterfield,G.K.,NC,1,100,100,
v0.1.0,1.1.0,B001252,113,H,2013-01-03,2015-01-02,John,Barrow,John Barrow,,GA,12,100,100,
v0.1.0,1.1.0,B001255,113,H,2013-01-03,2015-01-02,Charles,Boustany,Charles W. Boustany Jr.,,LA,3,200,200,
v0.1.0,1.1.0,B001256,113,H,2013-01-03,2015-01-02,Michele,Bachmann,Michele Bachmann,,MN,6,200,200,
v0.1.0,1.1.0,B001257,113,H,2013-01-03,2015-01-02,Gus,Bilirakis,Gus M. Bilirakis,,FL,12,200,200,
v0.1.0,1.1.0,B001259,113,H,2013-01-03,2015-01-02,Bruce,Braley,Bruce L. Braley,,IA,1,100,100,
v0.1.0,1.1.0,B001260,113,H,2013-01-03,2015-01-02,Vern,Buchanan,Vern Buchanan,,FL,16,200,200,
v0.1.0,1.1.0,B001262,113,H,2013-01-03,2015-01-02,Paul,Broun,Paul C. Broun,,GA,10,200,200,
