release_version,schema_version,congress_no,snapshot_date,chamber,committee_scope,side,raw_member_name,bioguide_id,committee_text,committee_code,detail
v0.1.0,1.1.0,113,2014-02-18,H,standing,directory_only,"Martha Roby, of Alabama.",R000591,House Education and the Workforce,HSED,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,B001255,House Ways and Means,HSWM,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,C000714,House Judiciary,HSJU,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,C001083,House Financial Services,HSBA,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,D000533,House Oversight and Government Reform,HSGO,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,D000533,House Transportation and Infrastructure,HSPW,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,J000288,House Armed Services,HSAS,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,J000288,House Judiciary,HSJU,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,P000034,House Energy and Commerce,HSIF,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,P000034,House Natural Resources,HSII,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,P000096,House Ways and Means,HSWM,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,P000604,House Homeland Security,HSHM,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,P000604,House Small Business,HSSM,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,S000244,House Judiciary,HSJU,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,S000244,"House Science, Space, and Technology",HSSY,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,W000814,House Foreign Affairs,HSFA,
v0.1.0,1.1.0,113,2014-02-18,H,standing,observed_only,,W000814,"House Science, Space, and Technology",HSSY,
v0.1.0,1.1.0,113,2014-02-18,S,standing,directory_only,"Robert P. Casey, Jr., of Pennsylvania.",C001070,"Senate Agriculture, Nutrition, and Forestry",SSAF,
v0.1.0,1.1.0,113,2014-02-18,S,standing,directory_only,"Patty Murray, of Washington.",M001111,Senate Rules and Administration,SSRA,
v0.1.0,1.1.0,113,2014-02-18,S,standing,directory_only,"John E. Walsh, of Montana.",W000818,"Senate Agriculture, Nutrition, and Forestry",SSAF,
v0.1.0,1.1.0,113,2014-02-18,S,standing,observed_only,,C001070,Senate Finance,SSFI,
v0.1.0,1.1.0,113,2014-02-18,S,standing,observed_only,,C001070,"Senate Health, Education, Labor, and Pensions",SSHR,
v0.1.0,1.1.0,113,2014-02-18,S,standing,observed_only,,K000383,Senate Armed Services,SSAS,
v0.1.0,1.1.0,113,2014-02-18,S,standing,observed_only,,K000383,Senate Budget,SSBU,
v0.1.0,1.1.0,113,2014-02-18,S,standing,observed_only,,K000383,Senate Rules and Administration,SSRA,
v0.1.0,1.1.0,114,2016-02-12,H,standing,directory_only,"Marsha Blackburn, of Tennessee.",B001243,House Budget,HSBU,
v0.1.0,1.1.0,114,2016-02-12,H,standing,directory_only,"Vern Buchanan, of Florida.",B001260,House Budget,HSBU,
v0.1.0,1.1.0,114,2016-02-12,H,standing,directory_only,"Bill Johnson, of Ohio.",J000292,"House Science, Space, and Technology",HSSY,
v0.1.0,1.1.0,114,2016-02-12,H,standing,directory_only,"Dan Newhouse, of Washington.",N000189,"House Science, Space, and Technology",HSSY,
v0.1.0,1.1.0,114,2016-02-12,H,standing,directory_only,"Mark Takai, of Hawaii.",T000473,House Natural Resources,HSII,
v0.1.0,1.1.0,114,2016-02-12,H,standing,observed_only,,B001255,House Ways and Means,HSWM,
v0.1.0,1.1.0,114,2016-02-12,H,standing,observed_only,,B001292,House Natural Resources,HSII,
v0.1.0,1.1.0,114,2016-02-12,H,standing,observed_only,,B001292,"House Science, Space, and Technology",HSSY,
v0.1.0,1.1.0,114,2016-02-12,H,standing,observed_only,,C000714,House Judiciary,HSJU,
v0.1.0,1.1.0,114,2016-02-12,H,standing,observed_only,,C001083,House Financial Services,HSBA,
v0.1.0,1.1.0,114,2016-02-12,H,standing,observed_only,,D000533,House Oversight and Government Reform,HSGO,
