ruleset_id,congress_no,collection_code,chamber,artifact_level,identifier,package_id,granule_id,expected_type,candidate_class,title,date_issued,last_modified,source_url_or_api_call,details_url,local_path,size_bytes,sha256,status,error_text
govinfo_manifest_v1,115,CDIR-DERIVED,,file,CDIR-DERIVED-115-committee_memberships_2018,,,directory_snapshot_normalized,validation_reference,Normalized Congressional Directory committee membership snapshot,,,Derived from the cited Congressional Directory package,,data/congressional_directories/115th/committee_memberships_2018.json,30438,695c2fe77c2fd8af7c7bcb0cb69edc85d84974ffca9a611ddc6b78a5d3e7ae3e,RETRIEVED,
govinfo_manifest_v1,115,CDIR-DERIVED,,file,CDIR-DERIVED-115-committee_memberships_2018_oct,,,directory_snapshot_normalized,validation_reference,Normalized Congressional Directory committee membership snapshot,,,Derived from the cited Congressional Directory package,,data/congressional_directories/115th/committee_memberships_2018_oct.json,30438,844d82b8cdd41d4b0ac8ad011084fcdcd38783bfe4b0fd918a3e00bf01b72637,RETRIEVED,
govinfo_manifest_v1,115,CREC-DERIVED,,file,CREC-PROVENANCE-115,,,crec_normalization_provenance,provenance,Congressional Record raw-package and normalization provenance,,,Derived from GovInfo package ZIPs using the pinned parser revision recorded in this file,https://github.com/unitedstates/congressional-record,data/manifests/crec_provenance_115.json,1079,338f868f6e8914ab3a0c29559c3d608fffa8dec1154a91dda1268ed69ba3329b,RETRIEVED,
govinfo_manifest_v1,115,SJOURNAL,S,package,GPO-CPUB-115spub15_3-896,GPO-CPUB-115spub15_3-896,,senate_journal,,Senate Journal,,,https://www.govinfo.gov/content/pkg/GPO-CPUB-115spub15_3-896,https://www.govinfo.gov/app/details/GPO-CPUB-115spub15_3-896,data/journals/GPO-SJOURNAL-115/GPO-CPUB-115spub15_3-896.pdf,11922748,04d2d2e60e9a9fb43de4b1511025b436d535d6a5543d1189c85f57ea7b14bc3f,RETRIEVED,
govinfo_manifest_v1,115,SJOURNAL,S,package,GPO-CPUB-115spub16_3-902,GPO-CPUB-115spub16_3-902,,senate_journal,,Senate Journal,,,https://www.govinfo.gov/content/pkg/GPO-CPUB-115spub16_3-902,https://www.govinfo.gov/app/details/GPO-CPUB-115spub16_3-902,data/journals/GPO-SJOURNAL-115/GPO-CPUB-115spub16_3-902.pdf,13238628,5b3bd7d4bf45a3709a0ed24d1138dd9256ccf31a5152c0c28e17df7c673a019b,RETRIEVED,
govinfo_manifest_v1,115,BILLS,H,package,BILLS-115hres10ih,BILLS-115hres10ih,,house_resolution,other,"Recognizing linemen, the profession of linemen, the contributions of these brave men and women who protect public safety, and expressing support for the designation of April 18, 2017, as National Lineman Appreciation Day.",2017-01-03,2025-03-18T18:44:03Z,GET /published/2017-01-03/2019-01-02?collection=BILLS&congress=115&pageSize=1000&offsetMark=*&docClass=hres,https://www.govinfo.gov/app/details/BILLS-115hres10ih,data/resolutions/115th/bills/hres/BILLS-115hres10ih.xml,3713,b5047c320ee1967dc9f2d2bd39f3cd494a887234f8ba975d50518945d2c0b0f9,RETRIEVED,
govinfo_manifest_v1,115,BILLS,H,package,BILLS-115hres11ih,BILLS-115hres11ih,,house_resolution,other,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes.",2017-01-03,2025-03-18T18:43:01Z,GET /published/2017-01-03/2019-01-02?collection=BILLS&congress=115&pageSize=1000&offsetMark=*&docClass=hres,https://www.govinfo.gov/app/details/BILLS-115hres11ih,data/resolutions/115th/bills/hres/BILLS-115hres11ih.xml,13619,9aef83346e08cd94ddb22f62f247cbc4ef9d5a11053cce4f7b006aecf46eb937,RETRIEVED,
govinfo_manifest_v1,115,BILLS,H,package,BILLS-115hres12ih,BILLS-115hres12ih,,house_resolution,other,Expressing the sense of the House of Representatives regarding the enhancement of unity in America.,2017-01-03,2025-03-18T18:43:27Z,GET /published/2017-01-03/2019-01-02?collection=BILLS&congress=115&pageSize=1000&offsetMark=*&docClass=hres,https://www.govinfo.gov/app/details/BILLS-115hres12ih,data/resolutions/115th/bills/hres/BILLS-115hres12ih.xml,4929,9387027700832f6b9ad73bbd415f98682d30f563f0e082a96e04640e14c82432,RETRIEVED,
govinfo_manifest_v1,115,BILLS,H,package,BILLS-115hres13ih,BILLS-115hres13ih,,house_resolution,other,"Expressing the sense of the House of Representatives that the Transportation Security Administration should, in accordance with existing law, enhance security against terrorist attack and other security threats to our Nation’s rail and mass transit systems and other modes of surface transportation; and for other purposes.",2017-01-03,2025-03-18T18:38:20Z,GET /published/2017-01-03/2019-01-02?collection=BILLS&congress=115&pageSize=1000&offsetMark=*&docClass=hres,https://www.govinfo.gov/app/details/BILLS-115hres13ih,data/resolutions/115th/bills/hres/BILLS-115hres13ih.xml,5508,4f2ee99b1861877cb8cf38e4e72ca56b4184e3b6faa89cbc528e6c824977d575,RETRIEVED,
govinfo_manifest_v1,115,BILLS,H,package,BILLS-115hres14ih,BILLS-115hres14ih,,house_resolution,other,"Disapproving of President Obama and his administration’s refusal to veto the anti-Israel resolution adopted by the United Nations Security Council on December 23, 2016.",2017-01-03,2025-03-18T18:43:22Z,GET /published/2017-01-03/2019-01-02?collection=BILLS&congress=115&pageSize=1000&offsetMark=*&docClass=hres,https://www.govinfo.gov/app/details/BILLS-115hres14ih,data/resolutions/115th/bills/hres/BILLS-115hres14ih.xml,6937,99cad8c039baa9d1bf5daac75dd567713ae7add75f2b5876c9cf1945f96ddba6,RETRIEVED,
govinfo_manifest_v1,115,BILLS,H,package,BILLS-115hres15ih,BILLS-115hres15ih,,house_resolution,other,Expressing the sense of the House of Representatives that the United States Postal Service should take all appropriate measures to ensure the continuation of its 6-day mail delivery service.,2017-01-03,2025-03-18T18:41:29Z,GET /published/2017-01-03/2019-01-02?collection=BILLS&congress=115&pageSize=1000&offsetMark=*&docClass=hres,https://www.govinfo.gov/app/details/BILLS-115hres15ih,data/resolutions/115th/bills/hres/BILLS-115hres15ih.xml,3206,b2e8c003b86fa51ed303ca5257d7507d1d8d7d50ae7384d41dc81213ca12dfa6,RETRIEVED,
